sitio,trilha,ponto,quadrante,dist,cap,q,m,e,rep,onça
CT-RBG-2-83,1,50,1,481,47,,,,,
CT-RBG-2-83,1,50,2,157,65,,,,,
CT-RBG-2-83,1,50,3,524,91,,,,,
CT-RBG-2-83,1,50,4,531,36,,,,,
CT-RBG-2-83,1,40,1,235,150,,,,,
CT-RBG-2-83,1,40,2,399,45,,,,,
CT-RBG-2-83,1,40,3,312,32,,,,,
CT-RBG-2-83,1,40,4,180,55,,,,,
CT-RBG-2-83,1,30,1,284,40,,,,,
CT-RBG-2-83,1,30,2,515,197,,,,,
CT-RBG-2-83,1,30,3,336,99,,,,,
CT-RBG-2-83,1,30,4,489,62,,,,,
CT-RBG-2-83,1,20,1,74,34,,,,,
CT-RBG-2-83,1,20,2,334,54,,,,,
CT-RBG-2-83,1,20,3,286,160,,,,,
CT-RBG-2-83,1,20,4,282,75,,,,,
CT-RBG-2-83,1,10,1,456,40,,,,,
CT-RBG-2-83,1,10,2,123,44,,,,,
CT-RBG-2-83,1,10,3,358,74,,,,,
CT-RBG-2-83,1,10,4,101,87,,,,,
CT-RBG-2-83,2,50,1,294,36,,,,,
CT-RBG-2-83,2,50,2,856,85,,,,,
CT-RBG-2-83,2,50,3,208,67,,,1,,
CT-RBG-2-83,2,50,4,324,45,,,,,
CT-RBG-2-83,2,40,1,330,121,,,,,
CT-RBG-2-83,2,40,2,754,123,,,,,
CT-RBG-2-83,2,40,3,415,73,,,,,
CT-RBG-2-83,2,40,4,530,141.5,,,,,
CT-RBG-2-83,2,30,1,960,114.3,,,,,
CT-RBG-2-83,2,30,2,614,597,,,,,
CT-RBG-2-83,2,30,3,938,32,,,,,
CT-RBG-2-83,2,30,4,195,31,,,,,
CT-RBG-2-83,2,20,1,431,32,,,,,
CT-RBG-2-83,2,20,2,360,33,,,,,
CT-RBG-2-83,2,20,3,712,31,,,,rep p30 q4,
CT-RBG-2-83,2,20,4,486,46.1,,,,,
CT-RBG-2-83,2,10,1,94,137,,,,,
CT-RBG-2-83,2,10,2,407,45,,,,,
CT-RBG-2-83,2,10,3,312,38.6,,,,,
CT-RBG-2-83,2,10,4,531,41,,,,,
